Blocker_scaling_factor  Reimers_scaling_factor  status  index
0.0119296369479 0.7 success 7
0.01 0.458829827643 error 52
0.0378606525575 0.3 success 98
0.04 0.641101666148 error 94
0.0160194648101 0.7 success 2
0.01 0.411581421862 success 44
0.04 0.518953070892 success 40
0.01 0.680882004079 success 152
0.0245877719559 0.3 success 82
0.0240579312968 0.7 success 112
0.04 0.517047775639 success 32
0.0221280300142 0.7 success 167
0.0205453207351 0.3 success 70
0.0296340651615 0.7 success 127
0.0319863556284 0.7 success 174
0.01 0.51195218363 success 189
0.01 0.40567326964 error 113
0.0191254735392 0.7 success 160
0.04 0.61346828407 success 128
0.0203667737768 0.7 success 175
0.04 0.505665772464 error 39
0.04 0.326697446881 success 114
0.01 0.504745117359 success 161
0.04 0.417991562773 error 27
0.01 0.516371319225 success 69
0.01 0.516225596675 success 19
0.0269359341975 0.3 error 129
0.03656862956 0.7 error 176
0.01 0.616754779027 success 15
0.0235011978485 0.3 success 136
0.0102400535249 0.3 success 57
0.0258350606588 0.7 success 53
0.0233608691372 0.7 error 99
0.01 0.510674759704 success 95
0.01 0.386402286668 success 45
0.01 0.382206356922 success 41
0.0245268132998 0.3 success 87
0.01 0.528205221229 success 162
0.0143713294713 0.3 success 83
0.01 0.378356425507 success 122
0.04 0.609769397838 success 33
0.0197730700922 0.7 success 177
0.0231539265763 0.3 success 71
0.0384023312384 0.3 success 137
0.0280543767555 0.7 success 199
0.04 0.432811180977 success 163
0.0243434484622 0.7 success 123
0.01 0.558449123087 error 170
0.0247113396781 0.7 error 138
0.04 0.423143623889 success 185
0.04 0.484662187193 success 124
0.01 0.48468089996 success 171
0.0183097007268 0.3 success 28
0.03558657189 0.3 success 139
0.0245592610968 0.7 success 186
0.04 0.543523084228 success 16
0.0235215795669 0.3 success 58
0.01 0.552078372625 success 110
0.0246719424096 0.7 success 96
0.0150457002392 0.3 success 46
0.01 0.448600925966 success 6
0.04 0.520717987492 success 42
0.04 0.508765282454 success 125
0.0286778416444 0.3 success 88
0.0323481844001 0.3 error 172
0.0242537185466 0.7 success 84
0.01 0.398717771356 success 132
0.0213765625089 0.7 error 1
0.04 0.58919281148 success 34
0.04 0.336885044375 success 30
0.0259727543213 0.7 success 76
0.0123112744561 0.7 error 187
0.0252166037507 0.3 success 9
0.04 0.462016376065 success 72
0.04 0.526551031921 success 147
0.01 0.368235937698 error 4
0.0275675991643 0.7 success 22
0.0320044970708 0.3 success 60
0.0229044319932 0.3 success 173
0.0279566717221 0.7 success 133
0.04 0.49551376781 success 90
0.04 0.664351710001 success 188
0.0149362696907 0.7 success 148
0.04 0.413135200518 error 195
0.04 0.551453434088 success 134
0.018698638035 0.3 error 181
0.0183251492037 0.3 error 149
0.0344063370277 0.7 success 196
0.0227760460164 0.7 success 17
0.01 0.537244058998 success 109
0.01 0.376817384916 success 59
0.04 0.439568375132 success 120
