# Blocker_scaling_factor,Reimers_scaling_factor,Final_CO_WD_Mass
5.044680942859999795e-02,7.765902126150000528e-01,5.217301627550198218e-01
8.691793570809999703e-02,8.131426830819999951e-01,5.121676555526212260e-01
7.321092030299999887e-02,8.319841095000000131e-01,5.085238298130271284e-01
3.058854608590000010e-02,8.083018889299999898e-01,5.182883188285277720e-01
9.547610919669999308e-02,4.272579303749999835e-01,5.415311583829742759e-01
7.343715755599999895e-02,7.569950842629999954e-01,5.227693801408109797e-01
1.462148143190000055e-02,8.030025404680000145e-01,5.218773054299813419e-01
4.224138978429999719e-02,6.226226212630000534e-01,5.363847712895671860e-01
1.552966160159999914e-02,7.259036137759999896e-01,5.359666577026220846e-01
9.312307205879999383e-02,8.291770350649999566e-01,5.079754777420169010e-01
7.391936309089999768e-02,4.942392688830000158e-01,5.407355926072288099e-01
2.495965799570000129e-02,4.820511996599999849e-01,5.514491476915407420e-01
2.438208075140000167e-02,8.675379876450000083e-01,4.977636394826654431e-01
3.255849316050000303e-02,7.338229501790000109e-01,5.298428405549266973e-01
4.073379619410000263e-02,6.840265466139999750e-01,5.338932774558892147e-01
7.381857122549999317e-02,3.129228331360000004e-01,5.467796534578814871e-01
9.876426292300000132e-02,7.555749813159999828e-01,5.210022932639345461e-01
2.507077802180000120e-02,3.142773819999999940e-01,5.586379845120770238e-01
6.754258955030000011e-02,8.056316062889999907e-01,5.151093714518161226e-01
4.512002719779999865e-02,8.997430349170000285e-01,4.753850512013346186e-01
9.668667873779999977e-02,3.849133700999999852e-01,5.427852682062209722e-01
6.388941605490000564e-02,6.042675804449999521e-01,5.374964374474501261e-01
3.267429292449999800e-02,8.619219240230000523e-01,5.009001177821992279e-01
9.385813867490000462e-02,6.516029640239999754e-01,5.307923292177088026e-01
5.104404849480000117e-02,4.135266761999999985e-01,5.472385087928525182e-01
8.123229034609999455e-02,6.741268889389999686e-01,5.295960426160771783e-01
8.670879752889999736e-02,8.333961259559999890e-01,5.071461143184657905e-01
9.194861290969999490e-02,7.987349731789999963e-01,5.150775886737598563e-01
6.604135342380000606e-02,6.932531260619999580e-01,5.289335196722562138e-01
5.759733759429999655e-02,7.615391972189999859e-01,5.229265063606722830e-01
7.582215125840000014e-02,8.823964032269999702e-01,4.865632418250890878e-01
6.224528169489999818e-02,8.579499953110000243e-01,5.016527152527624489e-01
6.890388570760000442e-02,6.145468857650000505e-01,5.350145486145938545e-01
5.798659761169999705e-02,5.898452836149999934e-01,5.380120717059597713e-01
5.792467436789999757e-02,3.649708097709999932e-01,5.490133213051311412e-01
9.783784786139999856e-02,4.127961663570000050e-01,5.427449419890969518e-01
7.846054918919999344e-02,4.222208810490000186e-01,5.447619670600241104e-01
8.714696827449999739e-02,7.305234325849999655e-01,5.252961292936071391e-01
3.442515003089999942e-02,6.315627118090000325e-01,5.390588191536855867e-01
9.097768450769999626e-02,3.720789469510000225e-01,5.430170018804094667e-01
5.564389607039999658e-02,7.956995664260000378e-01,5.176284077167019326e-01
5.335430983140000000e-02,4.874409053909999900e-01,5.422622670077679174e-01
9.389149316759999586e-02,3.087675055060000173e-01,5.465738541243314597e-01
9.786925871259999354e-02,5.078941478070000404e-01,5.392781482666523241e-01
5.231692428310000254e-02,6.345274603310000483e-01,5.361110317482632448e-01
4.196087266339999788e-02,5.561034035420000521e-01,5.425631413927979319e-01
5.066511999750000078e-02,6.916531433550000552e-01,5.314416378848886291e-01
5.700416693489999964e-02,4.207384891250000036e-01,5.455960594522993867e-01
5.272338252520000074e-02,4.367792411609999759e-01,5.470128472330405556e-01
5.620143481679999720e-02,7.752479839839999665e-01,5.215685555618525537e-01
3.171636453389999749e-02,8.453577548609999548e-01,5.076179179539704878e-01
5.994321175350000169e-02,3.606141706200000074e-01,5.481005023713483304e-01
4.874843155849999804e-02,3.739073840150000105e-01,5.489674850875508882e-01
6.967679747030000592e-02,4.161824466979999748e-01,5.432131201400138831e-01
6.460176472419999760e-02,5.636012951450000141e-01,5.381721745164120829e-01
8.647582583120000388e-02,3.341538569179999807e-01,5.443668257652213294e-01
5.878121388719999979e-02,4.602152262770000113e-01,5.421145672129897841e-01
2.773323858259999983e-02,4.079155708900000232e-01,5.527792736209921065e-01
1.504598070860000032e-02,6.403388153929999715e-01,5.448206333123891687e-01
1.484727582680000005e-02,8.177285098680000530e-01,5.174822703345974828e-01
4.732059091759999864e-02,3.562420350080000020e-01,5.505444392346356963e-01
7.942073187539999690e-02,3.984816565579999970e-01,5.431894107819413842e-01
2.044143125239999970e-02,5.992040313700000009e-01,5.439051922207748246e-01
6.626355692999999492e-02,3.273388981320000113e-01,5.489622105715231681e-01
2.816076763170000108e-02,5.646734425449999595e-01,5.449546885913582051e-01
8.777773017999999927e-02,8.391644737610000071e-01,5.054886104904819932e-01
7.899498760320000645e-02,8.460435922590000546e-01,5.045620311723341134e-01
5.923951672180000072e-02,6.674885295850000455e-01,5.323211181076372700e-01
